,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score
135,INCOM_LOAN_FBUS_INT_PCT,00316,"Loan Products Income,  Loans to financial businesses, Interest",Long Term Debt - Loans From Banks    316 Long Term Debt - Loans from Banks Long Term Debt - Loans from Banks Long-term debt -- Loans from banks                00316,57.4%
136,RCPT_NONMRCH_VAL,00101,"Sales, Shipments Receipts, or Revenue - Other non-merchandise","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",57.3%
137,INV_ENROUTE_VAL,00214,Inventories: Out of US Value,Inventories                          214 Inventories Inventories Inventories                                       00214,57.2%
138,ASSET_TOT_END,00218,"Depreciable assets at the end of the year,  Total Buildings and Machinery","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",57.1%
139,ASSET_CAPEX_VAL,00218,"Domestic Depreciable Asset Data:_x000D_
Total capex","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",57.0%
140,PAY_QTR1_PY,P2PAY,First Quarter Payroll   Prior Year,Prior Prior quarter payroll from BR nan nan nan,57.0%
141,RCPT_AUDVID_VAL,00101,"Sales, Shipments Receipts, or Revenue - Audio & video recordings","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",56.8%
142,EXPS_INTEREST_PAID,00105,Interest paid,Interest Expense                     105 Interest Expense Interest expense Interest Expense                                  00105,56.6%
143,ASSET_TOT_BGN,00218,"Depreciable assets at the beginning of the year,  Total Buildings and Machinery","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",56.6%
144,ASSET_OTHACQ_WRTIN_TXT,00218,"Domestic Depreciable Asset Data:_x000D_
Specified additions and acquisitions","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",56.5%
145,OPSTAT_EIN,00022,"Operational Status,  New owner/operator,  Employer Identification Number",EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,56.4%
146,DEPR_AUX_TOT,00218,"Auxiliary establishments,  Depreciation charges, Total","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",56.3%
147,ASSET_TOT_END_BUILD,00218,"Depreciable assets at the end of the year,  Buildings","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",56.3%
148,AFFIL_OWNER_EIN_NUM,00044,Ownership or Controlling Company: EIN,EI of company who owns EI of company who owns EI of company who owns Federal EI of Company that owns more than 50%     00044,55.9%
149,PAY_QTR1_PRDWRK,PPAY,First Quarter Payroll,Prior quarter payroll from br nan nan nan,55.8%
150,PAY_QTR1_VAL,PPAY,First quarter payroll,Prior quarter payroll from br nan nan nan,55.8%
151,AFFIL_SPL_RCPT_TOT,00101,"Added child establishment,  Total Sales, Shipments, Receipts or Revenue","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",55.7%
152,AFFIL_SPL_ROOM_RENT_TOT,00101,"Added child establishment,   Total Sales, Shipments, Receipts or Revenue","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",55.7%
153,INCOM_LOAN_RESMOR_INT_PCT,00302,"Loan Products Income, Residential mortgage loans, Interest",Short Term Loans (Commercial Paper)  302 Short Term Loans (Commercial Paper) Short Term Loans (Commercial Paper) Short-term loans -- Commercial paper              00302,55.6%
154,INV_RPT_STAT,00034,Inventories: Date status,Discontinued Date Discontinued Date Discontinued Date Corporation Status of DISCONTINUED Date           00034,55.6%
155,INV_PY_MAT_VAL,00214,"Inventories: Materials, Prior Year",Inventories                          214 Inventories Inventories Inventories                                       00214,55.5%
156,RCPT_NONML_TXT,00101,"Sales, Shipments Receipts, or Revenue - Specify other non-merchandise","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",55.5%
157,COST_CONMAT_TOT,00103,Total Operating Expenses paid,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,55.4%
158,INCOM_LOAN_FBUS_TOT_PCT,00316,"Loan Products Income,  Loans to financial businesses, Total",Long Term Debt - Loans From Banks    316 Long Term Debt - Loans from Banks Long Term Debt - Loans from Banks Long-term debt -- Loans from banks                00316,55.3%
159,INCOM_U_OTHER_OTH_PCT,00318,"Other credit financing, Other",Long Term Debt - Other               318 Long Term Debt - Other Long Term Debt - Other Long-term debt -- Other loans                     00318,55.3%
160,ASSET_TOT_BGN_BUILD,00218,"Depreciable assets at the beginning of the year,  Buildings","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",55.2%
161,ASSET_TOT_END_MACH,00218,"Depreciable assets at the end of the year,  Machinery","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",55.2%
162,INV_TOT_END,00214,"Inventories, Total,  End of Year",Inventories                          214 Inventories Inventories Inventories                                       00214,55.2%
163,TRUCKTRAC_NUM_TOT_DVAL,00216,"Inventories:_x000D_
Total Truck-tractors",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,55.1%
164,INCOM_LOAN_XMORVEH_OTH_PCT,00318,"Loan Products Income, Secured or guaranteed loans to consumers, except mortgage and vehicle loans, Other Fees",Long Term Debt - Other               318 Long Term Debt - Other Long Term Debt - Other Long-term debt -- Other loans                     00318,55.1%
165,CAPEX_CL_WRTIN_TXT,00321,"Capital Leases, specify",Capital Stock and Other Capital      321 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00321,55.1%
166,EXPS_CON_PCT_OTH,00103,"Expenditures incurred,  Other",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,55.0%
167,ASSET_RETIRED,00218,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Total Buildings and Machinery","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",54.9%
168,INV_PY_WRKPROC_VAL,00214,"Inventories: Work-in-process,_x000D_
Prior Year",Inventories                          214 Inventories Inventories Inventories                                       00214,54.7%
169,ASSET_TOT_BGN_MACH,00218,"Depreciable assets  at the beginning of the year,  Machinery","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",54.7%
170,OPEX_MIN,00103,Mining Operating Expenses:  Total,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,54.6%
171,INV_PY_FINISHED_VAL,00214,"Inventories: Finished goods, Prior Year",Inventories                          214 Inventories Inventories Inventories                                       00214,54.6%
172,RCPT_NONOP_OTH_VAL,00101,Revenue from all other non-operating revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",54.5%
173,MERCH_EST_NEW_3_PCT,00101,Approximate percentage of the total sales and receipts in $$00 - write-in #3,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",54.5%
174,INCOM_LOAN_GOV_INT_PCT,00316,"Loan Products Income, Loans to governments, Interest",Long Term Debt - Loans From Banks    316 Long Term Debt - Loans from Banks Long Term Debt - Loans from Banks Long-term debt -- Loans from banks                00316,54.5%
175,AFFIL_OWNER_EIN,00022,Employer Identification Number of the owning or controlling company,EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,54.3%
176,INCOM_LOAN_RESMOR_TOT_PCT,00302,"Loan Products Income, Residential mortgage loans, Total",Short Term Loans (Commercial Paper)  302 Short Term Loans (Commercial Paper) Short Term Loans (Commercial Paper) Short-term loans -- Commercial paper              00302,54.3%
177,INCOM_U_OTHER_TOT_PCT,00121,"Other credit financing, Total",Other Credits to Retained Earning    121 Other Credits to Retained Earning Other Credits to Retained Earnings Other Direct Credits (Charges) to                 00121,54.1%
178,CAPEX_MIN_LAND,00217,"Capital Expenditures, Mineral Land",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights Land and mineral rights                           00217,54.0%
179,INCOM_LOAN_XMORVEH_ORI_PCT,00316,"Loan Products Income, Secured or guaranteed loans to consumers, except mortgage and vehicle loans, Origination Fees",Long Term Debt - Loans From Banks    316 Long Term Debt - Loans from Banks Long Term Debt - Loans from Banks Long-term debt -- Loans from banks                00316,54.0%
180,MERCH_TOT_PCT,00101,"Merchandise Sales,  Total","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",54.0%
181,INCOM_U_LOAN_UNSEC_INT_PCT,00316,"Loan Products Income,  Unsecured loans to consumers, Interest",Long Term Debt - Loans From Banks    316 Long Term Debt - Loans from Banks Long Term Debt - Loans from Banks Long-term debt -- Loans from banks                00316,53.9%
182,RCPT_FDBRWN_VAL,00101,"Sales, Shipments Receipts, or Revenue - Food, beer & wine","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",53.9%
183,INCOM_LOAN_NFBUS_INT_PCT,00304,"Loan Products Income, Loans to non-financial businesses, Interest",Short Term Loans-Other               304 Short Term Loans (Other Short Term Loans) Short Term Loans-Other Short Term Loans Other short-term loans                            00304,53.9%
184,INCOM_LOAN_XMORVEH_INT_PCT,00318,"Loan Products Income, Secured or guaranteed loans to consumers, except mortgage and vehicle loans, Interest",Long Term Debt - Other               318 Long Term Debt - Other Long Term Debt - Other Long-term debt -- Other loans                     00318,53.8%
185,INCOM_LOAN_VEH_INT_PCT,00316,"Loan Products Income, Consumer vehicle loans, Interest",Long Term Debt - Loans From Banks    316 Long Term Debt - Loans from Banks Long Term Debt - Loans from Banks Long-term debt -- Loans from banks                00316,53.7%
186,MERCH_EST_NEW_2_PCT,00101,Approximate percentage of the total sales and receipts in current year - write-in #2,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",53.7%
187,RCPT_FURNTR_VAL,00101,"Sales, Shipments Receipts, or Revenue - Furniture & home furnishings","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",53.7%
