,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Cosine Score,Jaccard Score
206,TRUCKTRAC_WOD_NUM,00214,"Inventories:_x000D_
Truck-tractors without drivers",Inventories,52.92%,58.73%,20.00%
207,INV_VAL_AVG_END,00214,"Inventories by Valuation Method, Average Cost, End of Year",Inventories,52.84%,59.64%,14.29%
208,JOINT_COMPANY_ADDR_STATE_5,00327,"Investors, State of Company Investor 5",Stockholders Equity,52.80%,62.11%,0.00%
209,AFFIL_FOR_GE10_STAT,00041,Foreign Ownership or Control: Status,Owned by another company - No/Yes,52.80%,62.12%,0.00%
210,INV_PY_LIFO_RSV_VAL,00214,Inventories by Valuation Method: PY LIFO Reserve,Inventories,52.71%,59.08%,16.67%
211,CAPEX_USED_BUILD,00221,"Capital Expenditures, Used buildings, structures, machinery and equipment_x000D_
(Include USED automobiles, trucks, etc., major repairs and improvements and software, computers, and peripherals.)",All Other Non-current Assets,52.66%,61.95%,0.00%
212,ASSET_RETIRED,00218,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Total Buildings and Machinery",Accumulated Depreciation,52.60%,61.88%,0.00%
213,PRCH_AUX_TOT,00110,"Auxiliary establishment, Total selected expenses",Nonoperating expenses and income,52.56%,59.31%,14.29%
214,RCPT_NONMRCH_VAL,00110,"Sales, Shipments Receipts, or Revenue - Other non-merchandise",Nonoperating expenses and income,52.56%,61.83%,0.00%
215,OPSTAT_NAME,00031,"Operational Status,  New owner/operator,  Name",Corporation Status Active/Discontinued/Merged,52.53%,59.84%,11.11%
216,CAPEX_OTH_USED_WRTIN_TXT,00321,"Capital Expenditures: Other used - total, specify",Capital Stock and Other Capital,52.42%,58.73%,16.67%
217,CAPEX_MIN_TOT,00321,"Capital Expenditures, Mineral Total",Capital Stock and Other Capital,52.39%,58.10%,20.00%
218,INCOM_LOAN_VEH_INT_PCT,00302,"Loan Products Income, Consumer vehicle loans, Interest",Short Term Loans (Commercial Paper),52.33%,59.80%,10.00%
219,INV_LIFO_NET_BGN,00214,"Inventories, Total Inventories after LIFO adjustment,  Beginning of Year",Inventories,52.32%,58.62%,16.67%
220,INV_PY_WRKPROC_VAL,00214,"Inventories: Work-in-process,_x000D_
Prior Year",Inventories,52.26%,58.55%,16.67%
221,RCPT_C_OWN_STGOV,00217,"Ownership of Construction projects,  State and local governments",Land and Mineral Rights,52.25%,61.46%,0.00%
222,PROFIT_CHG_WEATHERCORP_CODE,00118,Weather Corporation Net Profit Change,Net Income (loss) for Quarter,52.25%,59.27%,12.50%
223,NEG_INV_B_TOT_DVAL,00214,Negative copy of total inventories,Inventories,52.21%,57.01%,25.00%
224,INCOM_U_LOAN_UNSEC_INT_PCT,00302,"Loan Products Income,  Unsecured loans to consumers, Interest",Short Term Loans (Commercial Paper),52.17%,59.61%,10.00%
225,AFFIL_OWNER_ADDR_ST,00031,State of the owning or controlling company,Corporation Status Active/Discontinued/Merged,52.15%,61.35%,0.00%
226,ASSET_TOT_BGN_MACH,00218,"Depreciable assets  at the beginning of the year,  Machinery",Accumulated Depreciation,51.99%,61.16%,0.00%
227,PRCH_OTHEXPS,00110,"All other purchased services - (Include legal services, accounting services, other expenses normally considered as overhead or non-job related costs, etc. Exclude purchase of products for resale (cost of goods sold); bad debt; transfers made within the company; capitalized expenses; interest; impairment; income, sales, and excise taxes; and other nonoperating expenses.)",Nonoperating expenses and income,51.97%,59.44%,9.68%
228,INV_VAL_LIFO_END,00214,"Inventories by Valuation Method, Last-in, First-Out (LIFO), End of Year",Inventories,51.94%,58.16%,16.67%
229,INCOM_U_OTHER_INTER_PCT,00105,"Other credit financing, Interest",Interest Expense,51.93%,61.09%,0.00%
230,RECORD_STORENUM,00216,The store or plant number,Plant and Equipment,51.84%,56.57%,25.00%
231,AFFIL_OWNER_STOCK_GT50_ARCHIVE,00327,What percent of voting stock was held by the owning or controlling company?,Stockholders Equity,51.79%,60.93%,0.00%
232,JOINT_COMPANY_ADDR_STATE_3,00327,"Investors, State of Company Investor 3",Stockholders Equity,51.79%,60.93%,0.00%
233,INV_RPT_DATE,00214,reporting Date for inventories,Inventories,51.74%,54.99%,33.33%
234,MERCH_TOT_PCT,00214,"Merchandise Sales,  Total",Inventories,51.72%,60.85%,0.00%
235,TAX_EXEMPT_STAT,00114,Tax Status: Exempt Income Status,Provision for Income Taxes,51.72%,57.91%,16.67%
236,ASSET_TOT_BGN_BUILD,00218,"Depreciable assets at the beginning of the year,  Buildings",Accumulated Depreciation,51.64%,60.75%,0.00%
237,INV_VAL_STD_BGN,00214,"Inventories by Valuation Method, Standard Cost, Beginning of Year",Inventories,51.63%,58.22%,14.29%
238,INV_OUTPR_END,00214,"Inventories,  Stored or en route, OUTSIDE Puerto Rico,  End of Year",Inventories,51.59%,58.74%,11.11%
239,INV_OUTPR_BGN,00214,"Inventories,  Stored or en route, OUTSIDE Puerto Rico,  Beginning of Year",Inventories,51.53%,58.66%,11.11%
240,RCPT_DIR_PUB_VAL,00223,"Total Directories, Databases, and Other Collections of Information Revenue",Total Assets,51.51%,58.08%,14.29%
241,ASSET_CAPEX_VAL,00218,capex for depreciated assets,Accumulated Depreciation,51.38%,60.44%,0.00%
242,EXPS_CON_PCT_NORES,00110,"Expenditures incurred,  Nonresidential buildings",Nonoperating expenses and income,51.36%,60.42%,0.00%
243,AFFIL_OWNER_NAME,00041,Name of the owning or controlling company,Owned by another company - No/Yes,51.33%,56.86%,20.00%
244,AFFIL_SPL_ESTAB,00061,Number of affiliated locations (child establishments) with the same EIN,Number of Subsidiary Corporations,51.31%,57.85%,14.29%
245,CAPEX_TOT_DVAL,00321,Capital Expenditures: All capex - total,Capital Stock and Other Capital,51.30%,56.82%,20.00%
246,EXPS_CON_PCT_OTH_WRTIN,00110,"Expenditures incurred,  Other write-in description",Nonoperating expenses and income,51.19%,60.22%,0.00%
247,HOTEL_OWNNOTMNG_NUM,00061,Number of Hotel Establishments: Managed by others,Number of Subsidiary Corporations,51.15%,56.64%,20.00%
248,AFFIL_OWNER_STOCK_STAT,00327,Ownership or Control: Percent of Voting Stock Held,Stockholders Equity,51.13%,60.15%,0.00%
249,INCOM_LOAN_NFBUS_INT_PCT,00302,"Loan Products Income, Loans to non-financial businesses, Interest",Short Term Loans (Commercial Paper),51.13%,58.55%,9.09%
250,JOINT_COMPANY_ADDR_CITY_4,00327,"Investors, City of Company Investor 4",Stockholders Equity,51.04%,60.05%,0.00%
251,RCPT_EXEMPT_REV,00110,Total revenue and expenses of a tax-exempt establishment,Nonoperating expenses and income,50.99%,57.79%,12.50%
252,INV_VAL_AVG_BGN,00214,"Inventories by Valuation Method, Average Cost, Beginning of Year",Inventories,50.87%,57.33%,14.29%
253,YEAR_END_DATE,00021,Reporting Period End Date,Closing date,50.83%,56.27%,20.00%
254,CAPEX_OTH_TOT_DVAL,00321,Capital Expenditures: Other new & used - total,Capital Stock and Other Capital,50.80%,56.82%,16.67%
255,AFFIL_OWNER_NAME_TXT,00041,Ownership or Controlling Company: Name,Owned by another company - No/Yes,50.79%,56.22%,20.00%
256,INV_E_LIFO_NET_VAL,00214,Total Inventories After LIFO Adjustment,Inventories,50.77%,55.32%,25.00%
257,INCOM_LOAN_VEH_OTH_PCT,00302,"Loan Products Income, Consumer vehicle loans, Other Fees",Short Term Loans (Commercial Paper),50.74%,58.09%,9.09%
258,BUS_TECH_RFID_DNK,00001,Yes/No/Do Not Know for Business Technology C,Is this your company's industry - yes/no,50.69%,56.70%,16.67%
259,NPATREV_OTHER_OP_WRTIN,00110,"All other non-patient care operating  revenue,  Other write-in description",Nonoperating expenses and income,50.68%,59.62%,0.00%
260,COST_OTHER_OPEX,00110,"All other operating expenses  (Include payroll, benefits, utilities, depreciation, etc. Exclude cost of goods sold, interest, capital expenditures, and bad debt.)",Nonoperating expenses and income,50.63%,58.52%,5.88%
261,AFFIL_FORSTOCK_GE10_YES,00041,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?",Owned by another company - No/Yes,50.59%,58.63%,5.00%
262,BUS_TECH_ADD_MFG_DNK,00001,Yes/No/Don't Know for Business Technology B,Is this your company's industry - yes/no,50.47%,56.85%,14.29%
263,COOPERATIVE_STAT,00031,Business Cooperative Status,Corporation Status Active/Discontinued/Merged,50.43%,56.81%,14.29%
264,RCPT_TOT_PROD,00214,Total value of shipments for products made at this establishment,Inventories,50.42%,59.32%,0.00%
265,INV_VAL_FIFO_END,00214,"Inventories by Valuation Method, First-in, First-Out (FIFO), End of Year",Inventories,50.37%,56.32%,16.67%
266,OPSTAT_ADDR_CITY_TXT,00031,Operational Status: Sold or Leased City,Corporation Status Active/Discontinued/Merged,50.31%,57.23%,11.11%
267,NPATREV_HLTHCARE,00110,"Non-Patient Care Revenue,",Nonoperating expenses and income,50.24%,59.10%,0.00%
268,CAPEX_NEW_TOT_DVAL,00321,Capital Expenditures: All new - total,Capital Stock and Other Capital,50.24%,55.58%,20.00%
269,CAPEX_MIN_DEV,00217,"Capital Expenditures, Mineral Development",Land and Mineral Rights,50.22%,56.14%,16.67%
270,CAPEX_MACH,00321,"Capital Expenditures, New and Used Machinery",Capital Stock and Other Capital,50.21%,56.13%,16.67%
271,CAPEX_OTHMACH_VAL,00321,Capital Expenditures: Machinery - all other,Capital Stock and Other Capital,50.09%,54.52%,25.00%
272,JOINT_COMPANY_ADDR_CITY_5,00327,"Investors, City of Company Investor 5",Stockholders Equity,50.09%,58.93%,0.00%
273,OPSTAT_ADDR_CITY,00031,"Operational Status,  New owner/operator,  City, town, village, etc.",Corporation Status Active/Discontinued/Merged,50.03%,57.39%,8.33%
274,CAPEX_USED_TOT_DVAL,00321,Capital Expenditures: All used - total,Capital Stock and Other Capital,50.03%,55.33%,20.00%
275,ASSET_RETIRED_BUILD,00218,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Buildings",Accumulated Depreciation,50.00%,58.82%,0.00%
276,NAME1,00044,Company Name,EI of company who owns,49.87%,49.84%,50.00%
277,JOINT_INVEST_PCT_1,00327,Investors: Percent of Investment of Company Investor 1,Stockholders Equity,49.87%,58.68%,0.00%
278,EXPS_ADMIN_OTHPRPCAS,00314,"Adminstrative Expenses, All other activities (i.e., life, accident and health, and hospital and medical service plans, including reinsurance)",All Other Current Liabilities.,49.79%,58.58%,0.00%
279,JOINT_COMPANY_NAME_4,00324,Investors: Company Name of Company Investor 4,Other Stockholder Equity,49.78%,58.56%,0.00%
280,EMP_MAR12_PY,00119,"First  Quarter Employment,  Prior Year",Retained Earnings at Beginning of Quarter,49.77%,56.03%,14.29%
281,COST_MERCH,00214,"Purchases of merchandise for resale, net of returns, allowances, and trade and cash discounts",Inventories,49.76%,58.54%,0.00%
282,PRCH_AUX_OTHEXPS_WRTIN,00110,"Auxiliary establishment,  all other selected expenses write-in description",Nonoperating expenses and income,49.76%,56.34%,12.50%
283,AFFIL_FOR_NAME,00208,"Name of the foreign entity (company, individual, government, etc.)",Foreign Securities,49.76%,55.02%,20.00%
284,RCPT_TOT,00104,"Total Sales, Shipments, Receipts or Revenue",Income (loss) from Operation,49.74%,58.52%,0.00%
285,ASSET_RETIRED_MACH,00218,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Machinery",Accumulated Depreciation,49.74%,58.52%,0.00%
286,INCOM_U_INSTAL_FEES_PCT,00105,"Installment credit, Fees",Interest Expense,49.72%,58.49%,0.00%
287,CAPEX_CL_WRTIN_TXT,00321,"Capital Leases, specify",Capital Stock and Other Capital,49.71%,54.07%,25.00%
288,JOINT_INVEST_PCT_4,00327,Investors: Percent of Investment of Company Investor 4,Stockholders Equity,49.67%,58.43%,0.00%
289,RCPT_NONOP_DVAL,00110,Non-Patient Care Revenue,Nonoperating expenses and income,49.66%,58.42%,0.00%
290,OPEX_MIN_ROYALTY,00110,Mining Operating Expenses:  Current operating expenses for royalty payments for this domestic reporting unit,Nonoperating expenses and income,49.65%,56.80%,9.09%
291,INCOM_UNIT_BROK_TOT_PCT,00104,"Brokering and Dealing Products,  Total income",Income (loss) from Operation,49.65%,55.89%,14.29%
292,INCOM_UNIT_BROK_INTER_PCT,00306,"Brokering and Dealing Products, Interest income from trading accounts",Trade Accounts and Trade Notes Payable,49.63%,56.19%,12.50%
293,EXPS_CON_PCT_MAIN,00110,"Expenditures incurred, Maintenance and repair",Nonoperating expenses and income,49.60%,58.36%,0.00%
294,CAPEX_USED_MACH,00110,"Capital Expenditures, Used Machinery",Nonoperating expenses and income,49.58%,58.33%,0.00%
295,OPSTAT_ADDR_STREET,00031,"Operational Status,  New owner/operator,  Street Address",Corporation Status Active/Discontinued/Merged,49.55%,56.69%,9.09%
296,ASSET_OTHACQ_WRTIN_TXT,00218,"Domestic Depreciable Asset Data:_x000D_
Specified additions and acquisitions",Accumulated Depreciation,49.40%,58.11%,0.00%
297,RCPT_OTHMRCH_VAL,00214,"Sales, Shipments Receipts, or Revenue - Other merchandise",Inventories,49.37%,58.08%,0.00%
298,EXPS_ADMIN_OTHLIFE,00110,"Adminstrative Expenses, All other activities (i.e., property and casualty, including reinsurance, etc.)",Nonoperating expenses and income,49.36%,56.11%,11.11%
299,HOTEL_OWN3RD_STAT,00031,Hotel Management Company: Status,Corporation Status Active/Discontinued/Merged,49.33%,55.83%,12.50%
300,JOINT_COMPANY_NAME_1,00324,Investors: Company Name of Company Investor 1,Other Stockholder Equity,49.32%,58.02%,0.00%
301,OPSTAT_SEASON_ARCHIVE,00031,"Operational Status, What is this establishment's operation status?",Corporation Status Active/Discontinued/Merged,49.30%,55.79%,12.50%
302,AFFIL_FOR_ADDR_CNTRY_TXT,00208,Foreign Ownership or Control: Country,Foreign Securities,49.28%,53.56%,25.00%
303,RCPT_OFCEQ_VAL,00110,"Sales, Shipments Receipts, or Revenue - Office equipment & supplies",Nonoperating expenses and income,49.27%,57.96%,0.00%
304,INCOM_U_INSTAL_INTER_PCT,00105,"Installment credit, Interest",Interest Expense,49.26%,57.96%,0.00%
305,INCOM_U_LOAN_UNSEC_OTH_PCT,00302,"Loan Products Income, Unsecured loans to consumers, Other Fees",Short Term Loans (Commercial Paper),49.23%,56.31%,9.09%
306,INCOM_EXPS_EXTROR_DBCRD_TXT,00116,"Extraordinary gains (losses), net of taxes - principal debits and credits that contribute - Description",Extraordinary Gains,49.22%,54.37%,20.00%
307,INV_VAL_FIFO_BGN,00214,"Inventories by Valuation Method, First-in, First-Out (FIFO), Beginning of Year",Inventories,49.20%,54.95%,16.67%
308,AFFIL_FORSTOCK_STAT,00324,Foreign Ownership or Control: Percent of Voting Stock Held,Other Stockholder Equity,49.20%,57.89%,0.00%
309,TRAILER_WD_NUM,00214,"Inventories:_x000D_
Trailers with drivers",Inventories,49.19%,53.46%,25.00%
310,CAPEX_SOFTWARE_TOT_VAL,00321,"Capital Expenditures:_x000D_
Computer Software, total",Capital Stock and Other Capital,49.10%,55.24%,14.29%
311,ASSET_OTHACQ_VAL,00218,"Domestic Depreciable Asset Data:_x000D_
Gross value of other additions and acquisitions",Accumulated Depreciation,49.10%,57.76%,0.00%
312,EXPS_TOT_HOTEL_OWN3RD_VAL,00110,Hotel Management: Operating Expenses,Nonoperating expenses and income,49.09%,54.81%,16.67%
313,INCOM_U_OTHER_TOT_PCT,00312,"Other credit financing, Total",Current Portion Long Term Debt-Other,49.08%,57.74%,0.00%
314,ASSET_SOLD_VAL,00218,"Domestic Depreciable Asset Data:_x000D_
Gross value of sold, retired, etc.",Accumulated Depreciation,49.07%,57.73%,0.00%
315,PAY_QTR1_PY,00119,First Quarter Payroll   Prior Year,Retained Earnings at Beginning of Quarter,49.06%,55.20%,14.29%
316,OPSTAT_ADDR_ZIP,00031,"Operational Status,  New owner/operator,  ZIP Code",Corporation Status Active/Discontinued/Merged,49.00%,56.04%,9.09%
317,CAPEX_TOT,00321,"Capital Expenditures, New and Used Buildings and Machinery Total",Capital Stock and Other Capital,49.00%,55.44%,12.50%
318,JOINT_COMPANY_ADDR_CITY_2,00327,"Investors, City of Company Investor 2",Stockholders Equity,48.96%,57.60%,0.00%
319,JOINT_COMPANY_NAME_3,00324,Investors: Company Name of Company Investor 3,Other Stockholder Equity,48.95%,57.59%,0.00%
320,INCOM_LOAN_VEH_ORI_PCT,00302,"Loan Products Income, Consumer vehicle loans, Origination Fees",Short Term Loans (Commercial Paper),48.95%,56.11%,8.33%
321,OPEX_MIN,00110,Mining Operating Expenses:  Total,Nonoperating expenses and income,48.92%,54.61%,16.67%
322,OPSTAT_EIN_NUM,00031,Operational Status: Sold or Leased EIN,Corporation Status Active/Discontinued/Merged,48.92%,55.59%,11.11%
323,JOINT_COMPANY_ADDR_CITY_3,00327,"Investors, City of Company Investor 3",Stockholders Equity,48.92%,57.55%,0.00%
324,EXPS_TAX_VAL,00113,Governmental Taxes and License Fees,Provision for Income Taxes (STATE),48.90%,55.00%,14.29%
325,RCPT_CLOTH_VAL,00214,"Sales, Shipments Receipts, or Revenue - Clothing",Inventories,48.88%,57.51%,0.00%
326,JOINT_COMPANY_NAME_5,00324,Investors: Company Name of Company Investor 5,Other Stockholder Equity,48.85%,57.47%,0.00%
327,RCPT_COMP_VAL,00104,"Sales, Shipments Receipts, or Revenue - Computer",Income (loss) from Operation,48.81%,57.42%,0.00%
328,INV_OTHNL_WRTIN_TXT,00214,Inventory Valuation Methods: Specify,Inventories,48.80%,57.41%,0.00%
329,CAPEX_NEW_MACH,00321,"Capital Expenditures, New Machinery",Capital Stock and Other Capital,48.76%,53.83%,20.00%
330,RCPT_ELAPPL_VAL,00104,"Sales, Shipments Receipts, or Revenue - Electronics & appliances",Income (loss) from Operation,48.73%,57.33%,0.00%
331,RCPT_C_OWN_PRVT,00217,"Ownership of Construction projects,  Private businesses and individuals",Land and Mineral Rights,48.72%,57.31%,0.00%
332,INCOM_LOAN_FBUS_ORI_PCT,00302,"Loan Products Income,  Loans to financial businesses, Origination Fees",Short Term Loans (Commercial Paper),48.72%,55.84%,8.33%
333,RCPT_NONMRCH_TXT,00110,"Sales, Shipments Receipts, or Revenue - Specify other non-merchandise",Nonoperating expenses and income,48.69%,57.29%,0.00%
334,INCOM_UNIT_CRED_INTER_PCT,00105,"Credit Card Products,  Interest",Interest Expense,48.67%,57.25%,0.00%
335,INV_E_LIFO_VAL,00214,Inventory Valuation Methods: CY LIFO,Inventories,48.64%,57.22%,0.00%
336,JOINT_COMPANY_ADDR_CITY_1,00327,"Investors, City of Company Investor 1",Stockholders Equity,48.60%,57.17%,0.00%
337,INCOM_U_LOAN_UNSEC_TOT_PCT,00302,"Loan Products Income, Unsecured loans to consumers, Total",Short Term Loans (Commercial Paper),48.55%,55.52%,9.09%
338,RCPT_C_OWN_GOV_TOT,00217,"Ownership of Construction projects,  Federal, Commonwealth, Territorial, and municipal governments",Land and Mineral Rights,48.54%,57.10%,0.00%
339,OPSTATS,00031,"Indicates the end-of-year operational status by using collected fields OPSTAT_STAT, ACTV_MIO_NUM, as well as the Business Register's COV_CHG_CODE.",Corporation Status Active/Discontinued/Merged,48.53%,56.05%,5.88%
